Subject,single_class,Accuracy,BalAcc,AUC,F1
g1,False,0.4385026737967914,0.570647931303669,0.5789747593026282,0.3826070123647978
g10,False,0.7490774907749077,0.5292986003415716,0.556506546789423,0.7039503114931336
g11,False,0.7131313131313132,0.4935090479937057,0.503234548474517,0.6458592566506236
g12,False,0.6836935166994106,0.4886168910648715,0.4721338229294166,0.6351468703023077
g13,False,0.6011673151750972,0.4704678663239074,0.43553727506426737,0.6057629692194769
g2,False,0.7140255009107468,0.495216497767699,0.8782687265254057,0.6461600575274411
g9,False,0.6884615384615385,0.5436318067897015,0.5632883862548934,0.6815824375261762
s14,False,0.7630522088353414,0.5592332240814214,0.4665559772296015,0.7061587007370141
s15,False,0.701171875,0.5143939393939394,0.5170653907496012,0.6533938172043011
s16,False,0.6634980988593155,0.4731195200738348,0.536532841101369,0.623218437086771
s6,False,0.8040885860306644,0.6396853146853146,0.9114552114552115,0.7818607351004074
s7,False,0.6550802139037433,0.49980798771121354,0.7795378904249872,0.5385314618209733
s8,False,0.7846153846153846,0.5509921213889699,0.9535875239114224,0.7145197997269004
v4,True,1.0,,,1.0
v5,True,0.8380952380952381,,,0.9119170984455959
